odd,
0,12
1,34
2,56
3,78
,
quadratics,
0,2
1,5
2,10
3,17
4,26
6,50
,
mixed,
1,1
2,3
3,3
4,5
5,7
6,9
7,13
8,15
,
secondary,
1,4
2,6
3,10
4,18
5,34
,
ambiguous,
1,8
2,12
3,24
4,60
5,180
,
loop2,
0,2
1,4
2,2
3,4
4,2
5,4
,
loop3,
0,1
1,2
2,3
3,1
4,2
5,3
,
loop4,
0,2
1,4
2,3
3,3
4,2
5,4
6,3
7,3
,
plus,
1,2
2,4
3,6
4,10
5,16
,
minus,
1,25
2,16
3,9
4,7
6,5
,
mul,
0,1
1,0
2,0
3,0
4,0
,
what,
0,-1
1,0
2,7
3,26
4,63
5,124
,
how,
0,2
1,1
2,5
3,15
4,53
5,187
,
miss,
1,1
3,3
5,5
7,7
9,9
,
wrong,
0,1000
1,1
2,4
3,9
4,16
5,25
6,36
7,49
